               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,           0.0094814,           0.0037758,                   0,             0.98464,             0.81675,             0.89351,             0.81023,            0.014606,           0.0084131,                   0,            0.004951,            0.004951,            0.004951
                  53,           0.0093122,           0.0037537,                   0,             0.98295,             0.82148,             0.89326,             0.81031,            0.014635,           0.0084411,                   0,            0.004852,            0.004852,            0.004852
                  54,           0.0091399,            0.003723,                   0,             0.98298,             0.82095,              0.8935,             0.81062,            0.014638,           0.0084515,                   0,            0.004753,            0.004753,            0.004753
                  55,           0.0091017,           0.0036793,                   0,             0.98105,             0.81774,              0.8934,             0.81102,            0.014672,           0.0084745,                   0,            0.004654,            0.004654,            0.004654
                  56,           0.0090161,           0.0036421,                   0,             0.98105,             0.81803,             0.89275,             0.81241,            0.014688,            0.008498,                   0,            0.004555,            0.004555,            0.004555
                  57,           0.0089244,           0.0036076,                   0,             0.98102,              0.8165,             0.89273,             0.81302,            0.014656,           0.0085197,                   0,            0.004456,            0.004456,            0.004456
                  58,           0.0089666,           0.0035955,                   0,             0.98102,             0.81644,             0.89297,             0.81273,            0.014666,           0.0085363,                   0,            0.004357,            0.004357,            0.004357
                  59,           0.0087852,           0.0035941,                   0,               0.981,             0.81574,              0.8935,             0.81318,             0.01465,           0.0085353,                   0,            0.004258,            0.004258,            0.004258
                  60,           0.0087591,           0.0035677,                   0,             0.98101,             0.81615,             0.89284,             0.81251,            0.014649,           0.0085492,                   0,            0.004159,            0.004159,            0.004159
                  61,           0.0086877,           0.0035564,                   0,             0.98528,             0.81517,             0.89288,             0.81216,            0.014652,           0.0085723,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.008718,           0.0035316,                   0,             0.98291,             0.81769,             0.89321,             0.81233,            0.014641,           0.0085819,                   0,            0.003961,            0.003961,            0.003961
                  63,           0.0085516,            0.003482,                   0,             0.98478,             0.81777,             0.89378,               0.813,            0.014642,           0.0085885,                   0,            0.003862,            0.003862,            0.003862
                  64,           0.0084307,           0.0034594,                   0,             0.98476,             0.81683,             0.89431,             0.81434,            0.014641,           0.0086128,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.008397,           0.0034573,                   0,             0.98141,             0.81833,             0.89466,             0.81438,            0.014634,           0.0086201,                   0,            0.003664,            0.003664,            0.003664
                  66,           0.0083453,           0.0034258,                   0,             0.98098,             0.81833,             0.89513,             0.81539,            0.014637,            0.008644,                   0,            0.003565,            0.003565,            0.003565
                  67,           0.0082649,           0.0033977,                   0,             0.97915,              0.8159,             0.89511,             0.81615,            0.014649,           0.0086694,                   0,            0.003466,            0.003466,            0.003466
                  68,           0.0081588,           0.0033648,                   0,             0.97949,             0.81517,             0.89527,             0.81628,            0.014683,           0.0087019,                   0,            0.003367,            0.003367,            0.003367
                  69,           0.0081011,           0.0033317,                   0,             0.98218,             0.81675,             0.89578,             0.81675,            0.014722,           0.0087251,                   0,            0.003268,            0.003268,            0.003268
                  70,           0.0079038,           0.0032919,                   0,             0.98288,             0.81628,             0.89572,             0.81673,            0.014753,           0.0087504,                   0,            0.003169,            0.003169,            0.003169
                  71,           0.0078412,           0.0032551,                   0,             0.98147,             0.81359,              0.8954,             0.81734,            0.014773,           0.0087768,                   0,             0.00307,             0.00307,             0.00307
                  72,           0.0077695,           0.0032478,                   0,             0.98081,             0.81359,             0.89538,             0.81728,            0.014782,            0.008789,                   0,            0.002971,            0.002971,            0.002971
                  73,           0.0076834,            0.003212,                   0,             0.98282,             0.81328,             0.89507,             0.81757,            0.014807,           0.0088169,                   0,            0.002872,            0.002872,            0.002872
                  74,           0.0076364,           0.0031849,                   0,             0.98194,             0.81359,             0.89461,             0.81721,            0.014837,           0.0088247,                   0,            0.002773,            0.002773,            0.002773
                  75,           0.0075488,           0.0031601,                   0,             0.98169,             0.81359,             0.89442,             0.81793,            0.014849,           0.0088203,                   0,            0.002674,            0.002674,            0.002674
                  76,           0.0074562,           0.0031097,                   0,             0.98451,             0.81517,             0.89472,             0.81806,            0.014869,           0.0088233,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.007368,           0.0030663,                   0,             0.98474,             0.81534,             0.89419,              0.8178,            0.014884,           0.0088263,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.007271,           0.0030316,                   0,             0.98505,             0.81517,             0.89457,             0.81851,             0.01492,           0.0088387,                   0,            0.002377,            0.002377,            0.002377
                  79,           0.0071257,           0.0029724,                   0,             0.98477,             0.81517,             0.89414,             0.81834,            0.014957,           0.0088441,                   0,            0.002278,            0.002278,            0.002278
                  80,           0.0071492,           0.0029719,                   0,             0.98475,             0.81517,             0.89416,             0.81853,            0.014983,           0.0088567,                   0,            0.002179,            0.002179,            0.002179
                  81,           0.0070033,           0.0029949,                   0,             0.98543,             0.81517,             0.89481,             0.81972,            0.014991,            0.008865,                   0,             0.00208,             0.00208,             0.00208
                  82,           0.0070504,           0.0029502,                   0,             0.98458,             0.81201,             0.89412,             0.82012,            0.015009,           0.0088769,                   0,            0.001981,            0.001981,            0.001981
                  83,           0.0068472,           0.0028905,                   0,             0.98467,             0.81195,              0.8943,             0.82109,            0.015034,           0.0088862,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.006741,           0.0028573,                   0,             0.98334,             0.81043,             0.89494,             0.82165,            0.015051,           0.0088915,                   0,            0.001783,            0.001783,            0.001783
                  85,           0.0066653,           0.0028312,                   0,             0.98328,             0.81043,             0.89487,             0.82231,            0.015064,           0.0088946,                   0,            0.001684,            0.001684,            0.001684
                  86,           0.0065781,           0.0027958,                   0,             0.98447,             0.81043,              0.8939,             0.82201,            0.015082,           0.0088999,                   0,            0.001585,            0.001585,            0.001585
                  87,           0.0064332,           0.0027744,                   0,             0.98475,             0.81043,             0.89351,             0.82131,            0.015077,           0.0089027,                   0,            0.001486,            0.001486,            0.001486
                  88,           0.0064081,            0.002729,                   0,             0.98475,             0.81043,              0.8932,             0.82101,            0.015088,            0.008911,                   0,            0.001387,            0.001387,            0.001387
                  89,           0.0062679,           0.0027072,                   0,             0.98475,             0.81043,             0.89323,             0.82175,              0.0151,           0.0089175,                   0,            0.001288,            0.001288,            0.001288
                  90,           0.0061958,           0.0026786,                   0,             0.98468,             0.81043,             0.89435,             0.82248,            0.015105,           0.0089216,                   0,            0.001189,            0.001189,            0.001189
                  91,           0.0060949,           0.0026282,                   0,             0.98466,             0.81139,             0.89412,              0.8223,            0.015111,           0.0089271,                   0,             0.00109,             0.00109,             0.00109
                  92,           0.0060298,           0.0026329,                   0,             0.98667,             0.81359,             0.89477,             0.82223,            0.015113,           0.0089319,                   0,            0.000991,            0.000991,            0.000991
                  93,           0.0058974,           0.0025743,                   0,             0.98759,             0.81517,             0.89492,             0.82248,            0.015127,            0.008946,                   0,            0.000892,            0.000892,            0.000892
                  94,           0.0058703,           0.0025595,                   0,             0.98743,             0.81517,             0.89541,             0.82287,            0.015145,           0.0089548,                   0,            0.000793,            0.000793,            0.000793
                  95,           0.0057738,           0.0025364,                   0,             0.98738,             0.81517,             0.89598,              0.8238,             0.01515,           0.0089632,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.005729,           0.0025084,                   0,             0.98741,             0.81517,              0.8962,             0.82468,            0.015151,           0.0089703,                   0,            0.000595,            0.000595,            0.000595
                  97,           0.0055434,           0.0024821,                   0,             0.98791,             0.81517,             0.89688,             0.82563,            0.015139,           0.0089698,                   0,            0.000496,            0.000496,            0.000496
                  98,           0.0055132,           0.0024328,                   0,              0.9885,             0.81454,             0.89729,             0.82658,            0.015128,           0.0089754,                   0,            0.000397,            0.000397,            0.000397
                  99,           0.0053443,           0.0024061,                   0,             0.98726,             0.81359,             0.89729,             0.82666,            0.015126,           0.0089787,                   0,            0.000298,            0.000298,            0.000298
